text,translation,note,categories
the symphony orchestra performed Beethoven's ninth in front of a sold-out audience,交響楽団がベートーヴェンの第九を満席の観客の前で演奏した,,"music,arts,medium"
the oil painting captured the golden light of the autumn landscape,油絵が秋の風景の金色の光を捉えた,,"music,arts,easy"
the pianist played a complex fugue by Bach with remarkable precision,ピアニストがバッハの複雑なフーガを驚くべき正確さで演奏した,,"music,arts,medium"
abstract art challenges viewers to find their own meaning in the work,抽象芸術は鑑賞者に作品の中に自分なりの意味を見つけることを求める,,"music,arts,medium"
the jazz ensemble improvised a twelve-bar blues in the key of B flat,ジャズアンサンブルが変ロ長調で12小節のブルースを即興演奏した,,"music,arts,hard"
the sculpture was carved from a single block of Italian marble,その彫刻はイタリア産の大理石の一塊から彫り出された,,"music,arts,medium"
the soprano's voice soared effortlessly through the highest notes of the aria,ソプラノの声がアリアの最高音を楽々と歌い上げた,,"music,arts,hard"
impressionist painters like Monet captured the changing quality of natural light,モネのような印象派の画家は自然光の変化する特質を捉えた,,"music,arts,medium"
the conductor raised the baton and the orchestra began the overture,指揮者がタクトを上げるとオーケストラが序曲を始めた,,"music,arts,easy"
watercolor painting requires a delicate balance of pigment and water,水彩画は顔料と水の繊細なバランスを必要とする,,"music,arts,easy"
the electric guitar solo brought the rock concert to an electrifying climax,エレキギターのソロがロックコンサートを衝撃的なクライマックスに導いた,,"music,arts,medium"
the Renaissance period produced masterworks by Leonardo da Vinci and Michelangelo,ルネサンス期はレオナルド・ダ・ヴィンチとミケランジェロの傑作を生み出した,,"music,arts,medium"
the string quartet played a haunting melody that lingered in the audience's memory,弦楽四重奏が聴衆の記憶に残る印象的な旋律を演奏した,,"music,arts,medium"
pop art emerged in the 1950s as a reaction against traditional fine art,ポップアートは1950年代に伝統的なファインアートへの反動として登場した,,"music,arts,medium"
the drummer maintained a steady tempo throughout the entire performance,ドラマーは公演全体を通して安定したテンポを維持した,,"music,arts,easy"
the gallery exhibition featured contemporary installations from emerging artists,ギャラリーの展覧会は新進アーティストによる現代インスタレーションを特集した,,"music,arts,medium"
the opera singer projected her voice across the entire theater without a microphone,オペラ歌手はマイクなしで劇場全体に声を響かせた,,"music,arts,medium"
cubism broke objects into geometric shapes and reassembled them on the canvas,キュビスムは物体を幾何学的な形に分解しキャンバス上で再構成した,,"music,arts,hard"
the blues originated in the deep south of the United States in the late nineteenth century,ブルースは19世紀後半にアメリカ合衆国のディープサウスで生まれた,,"music,arts,medium"
the mural covered the entire side of the building with vibrant colors and bold imagery,壁画は鮮やかな色と大胆なイメージで建物の全面を覆った,,"music,arts,easy"
the cellist played an emotional interpretation of Dvorak's cello concerto,チェロ奏者がドヴォルザークのチェロ協奏曲を感情的に解釈して演奏した,,"music,arts,hard"
surrealism explored the world of dreams and the unconscious mind,シュルレアリスムは夢と無意識の世界を探求した,,"music,arts,medium"
the music festival attracted over fifty thousand attendees from around the world,音楽フェスティバルは世界中から5万人以上の参加者を集めた,,"music,arts,easy"
the art of calligraphy requires patience and years of dedicated practice,書道の技術は忍耐と何年にもわたる献身的な練習を必要とする,,"music,arts,easy"
the harmonies in the choir blended perfectly creating a rich wall of sound,合唱のハーモニーが完璧に調和し豊かな音の壁を作った,,"music,arts,medium"
baroque architecture is characterized by elaborate ornamentation and dramatic use of light,バロック建築は精巧な装飾と光の劇的な使用が特徴だ,,"music,arts,hard"
the hip-hop artist freestyled over the beat with impressive lyrical agility,ヒップホップアーティストが印象的な歌詞の敏捷さでビートに乗ってフリースタイルした,,"music,arts,medium"
the still life painting depicted a vase of flowers beside a bowl of fruit,静物画は花瓶の花と果物のボウルを描いた,,"music,arts,easy"
the violin maker handcrafted each instrument from aged spruce and maple wood,バイオリン職人はエイジングしたスプルースとメープルの木で各楽器を手作りした,,"music,arts,medium"
the Dada movement challenged conventional ideas about what constitutes art,ダダ運動は芸術を構成するものについての従来の考えに挑戦した,,"music,arts,hard"
the acoustic guitar strumming created a warm and inviting atmosphere,アコースティックギターのストラミングが温かく親しみやすい雰囲気を作った,,"music,arts,easy"
pointillism uses tiny dots of color placed close together to form an image,点描法は小さな色の点を密に配置してイメージを形成する,,"music,arts,hard"
the reggae rhythm originating from Jamaica has influenced music genres worldwide,ジャマイカ発祥のレゲエのリズムは世界中の音楽ジャンルに影響を与えた,,"music,arts,medium"
the art restoration team carefully cleaned centuries of grime from the masterpiece,美術修復チームが何世紀もの汚れを傑作から慎重に除去した,,"music,arts,medium"
the brass section of the marching band blasted a triumphant fanfare,マーチングバンドの金管セクションが勝利のファンファーレを高らかに奏でた,,"music,arts,medium"
graffiti art has evolved from street vandalism into a recognized form of urban expression,グラフィティアートは街の破壊行為から認知された都市表現の形態へと進化した,,"music,arts,medium"
the flamenco dancer's footwork was incredibly fast and rhythmically precise,フラメンコダンサーの足さばきは信じられないほど速くリズミカルに正確だった,,"music,arts,medium"
the lithograph was printed using a limestone block and oil-based ink,リトグラフは石灰石の版と油性インクを使って印刷された,,"music,arts,hard"
the country music singer told stories of rural life through heartfelt ballads,カントリーミュージック歌手が心のこもったバラードで田舎の生活を歌った,,"music,arts,easy"
the art deco style of the 1920s combined geometric forms with luxurious materials,1920年代のアールデコスタイルは幾何学的な形と豪華な素材を組み合わせた,,"music,arts,medium"
the bassoon provided a deep warm tone that anchored the woodwind section,ファゴットが木管セクションの支えとなる深く温かい音色を提供した,,"music,arts,medium"
the theater company staged a modern interpretation of a classic Shakespeare tragedy,劇団がシェイクスピアの古典的な悲劇を現代的に解釈して上演した,,"music,arts,medium"
electronic music production relies heavily on digital synthesizers and audio software,電子音楽制作はデジタルシンセサイザーとオーディオソフトウェアに大きく依存する,,"music,arts,medium"
the mosaic was assembled from thousands of tiny colored tiles,モザイクは何千もの小さな色つきタイルで組み立てられた,,"music,arts,easy"
the folk musician preserved traditional melodies that had been passed down for generations,フォークミュージシャンが何世代にもわたって受け継がれてきた伝統的な旋律を保存した,,"music,arts,medium"
the chiaroscuro technique uses strong contrasts between light and dark to create depth,明暗法は光と闇の強いコントラストを使って奥行きを作り出す,,"music,arts,hard"
the DJ mixed seamlessly between tracks keeping the dance floor energized all night,DJがトラック間をシームレスにミックスしダンスフロアを一晩中盛り上げた,,"music,arts,easy"
origami transforms a flat sheet of paper into an intricate three-dimensional sculpture,折り紙は平らな紙を精巧な立体彫刻に変える,,"music,arts,easy"
the gospel choir's powerful performance moved the entire congregation to tears,ゴスペル合唱団の力強い演奏が会衆全体を涙に動かした,,"music,arts,medium"
the fresco was painted directly onto the wet plaster of the chapel ceiling,フレスコ画は礼拝堂の天井の濡れた漆喰に直接描かれた,,"music,arts,hard"
the music producer layered multiple tracks to create a rich full sound,音楽プロデューサーが複数のトラックを重ねて豊かでフルなサウンドを作った,,"music,arts,medium"
the pottery was hand-thrown on a wheel and glazed with a traditional ash glaze,陶器はろくろで手びねりされ伝統的な灰釉で施釉された,,"music,arts,medium"
the samba rhythm is the heartbeat of Brazilian carnival celebrations,サンバのリズムはブラジルのカーニバルの心臓の鼓動だ,,"music,arts,medium"
the art critic wrote a thoughtful review of the new exhibition at the modern art museum,美術評論家が近代美術館の新しい展覧会について思慮深い批評を書いた,,"music,arts,medium"
the harpist's delicate plucking filled the wedding ceremony with ethereal music,ハープ奏者の繊細な演奏が結婚式を幻想的な音楽で満たした,,"music,arts,medium"
the woodblock print is a traditional Japanese art form known as ukiyo-e,木版画は浮世絵として知られる日本の伝統芸術である,,"music,arts,medium"
the beat poet performed spoken word poetry accompanied by a saxophone,ビート詩人がサクソフォンの伴奏でスポークンワード・ポエトリーを演じた,,"music,arts,medium"
the tapestry woven in the medieval period depicted scenes of courtly life,中世に織られたタペストリーは宮廷生活の場面を描いていた,,"music,arts,hard"
the indie band released their debut album to critical acclaim,インディーバンドがデビューアルバムを批評家の賞賛を受けてリリースした,,"music,arts,easy"
the art of ikebana arranges flowers and branches to express harmony with nature,生け花の芸術は花と枝を配置して自然との調和を表現する,,"music,arts,medium"
the trumpet player hit a high C that rang out across the concert hall,トランペット奏者がハイCを出しコンサートホール全体に響き渡った,,"music,arts,medium"
the digital art movement has expanded creative possibilities through technology,デジタルアート運動はテクノロジーを通じて創造的な可能性を拡大した,,"music,arts,medium"
the blues scale consists of six notes that give the genre its characteristic sound,ブルーススケールは6つの音からなりジャンル特有のサウンドを生み出す,,"music,arts,hard"
the etching process involves scratching a design into a metal plate coated with wax,エッチングのプロセスはワックスでコーティングされた金属板にデザインを刻むことを含む,,"music,arts,hard"
a cappella singing demonstrates the beauty of the human voice without instrumental accompaniment,ア・カペラの歌唱は楽器の伴奏なしに人間の声の美しさを示す,,"music,arts,medium"
the kinetic sculpture moved gracefully in the breeze creating constantly changing shadows,キネティック彫刻が風に優雅に動き絶えず変化する影を作り出した,,"music,arts,hard"
the mariachi band played lively traditional Mexican music at the festival,マリアッチバンドがフェスティバルで活気のある伝統的なメキシコ音楽を演奏した,,"music,arts,easy"
the concept of negative space is as important as the subject itself in composition,ネガティブスペースの概念は構図において被写体そのものと同じくらい重要だ,,"music,arts,medium"
the cello's deep resonant tone made it the perfect instrument for the melancholy piece,チェロの深い共鳴する音色がその憂鬱な曲に最適な楽器にした,,"music,arts,medium"
the silk screen printing process allows artists to produce multiple identical prints,シルクスクリーン印刷のプロセスにより芸術家は複数の同一プリントを作成できる,,"music,arts,medium"
the concert pianist memorized the entire recital program without looking at sheet music,コンサートピアニストが楽譜を見ずにリサイタルのプログラム全体を暗記した,,"music,arts,medium"
installation art transforms an entire space into an immersive artistic experience,インスタレーションアートは空間全体を没入型の芸術体験に変える,,"music,arts,medium"
the sitar creates a distinctive buzzing sound that is central to Indian classical music,シタールはインド古典音楽の中心となる独特のバズ音を作り出す,,"music,arts,medium"
the oil paint was applied with thick impasto strokes creating a textured surface,油絵の具が厚いインパスト画法で塗られ質感のある表面を作り出した,,"music,arts,hard"
the a capella group arranged a complex five-part harmony of a popular song,ア・カペラグループが人気曲の複雑な5声のハーモニーを編曲した,,"music,arts,medium"
the art nouveau movement drew inspiration from natural forms and organic curves,アールヌーヴォー運動は自然の形態と有機的な曲線からインスピレーションを得た,,"music,arts,medium"
the percussionist played an intricate solo using a variety of world instruments,打楽器奏者がさまざまな世界の楽器を使って精巧なソロを演奏した,,"music,arts,medium"
the stained glass windows of the cathedral tell biblical stories through colored light,大聖堂のステンドグラスの窓は色つきの光を通して聖書の物語を語る,,"music,arts,medium"
the musical score was composed specifically for the film's dramatic climax,楽曲は映画の劇的なクライマックスのために特別に作曲された,,"music,arts,medium"
the bronze casting process involves creating a mold and pouring molten metal,ブロンズ鋳造のプロセスは型を作り溶けた金属を流し込むことを含む,,"music,arts,hard"
the orchestra tuned their instruments to the oboe's concert A before the performance,演奏前にオーケストラがオーボエのコンサートAに合わせて楽器を調律した,,"music,arts,medium"
the watercolor wash technique creates soft translucent layers of color,水彩のウォッシュ技法は柔らかく半透明な色の層を作り出す,,"music,arts,medium"
the rhythm and blues genre evolved into rock and roll in the 1950s,リズム・アンド・ブルースのジャンルは1950年代にロックンロールへと進化した,,"music,arts,medium"
the ceramic glaze reacted in the kiln to produce unexpected colors and patterns,セラミックの釉薬が窯の中で反応し予想外の色と模様を生み出した,,"music,arts,medium"
the choirmaster led the ensemble through a challenging polyphonic requiem,合唱指揮者がアンサンブルを難しい多声のレクイエムに導いた,,"music,arts,hard"
the photorealist painting was so detailed it was indistinguishable from a photograph,フォトリアリスト絵画は写真と区別がつかないほど詳細だった,,"music,arts,hard"
the world music festival celebrated diverse musical traditions from every continent,ワールドミュージックフェスティバルはすべての大陸の多様な音楽の伝統を祝った,,"music,arts,easy"
the palette knife was used to apply thick strokes of paint directly to the canvas,パレットナイフを使って厚い絵の具のストロークがキャンバスに直接塗られた,,"music,arts,medium"
the pipe organ filled the cathedral with a powerful resonance during the hymn,パイプオルガンが賛美歌の間に大聖堂を力強い共鳴で満たした,,"music,arts,medium"
the art of paper cutting creates intricate designs from a single sheet of paper,切り絵の芸術は一枚の紙から精巧なデザインを作り出す,,"music,arts,easy"
the twelve-tone technique systematically uses all twelve notes of the chromatic scale,十二音技法はクロマティックスケールの12音すべてを体系的に使用する,,"music,arts,hard"
the batik dyeing technique uses wax resist to create patterns on fabric,バティック染色技法はロウ防染を使って布に模様を作る,,"music,arts,medium"
the album went platinum after selling over one million copies worldwide,アルバムは世界中で100万枚以上を売り上げプラチナになった,,"music,arts,easy"
the mixed media artwork combined photography painting and found objects,ミクストメディアの作品は写真・絵画・ファウンドオブジェクトを組み合わせた,,"music,arts,medium"
the melody was so catchy that the audience hummed along by the second chorus,メロディーはとてもキャッチーで聴衆は2番のサビまでに口ずさんでいた,,"music,arts,easy"
the art of glass blowing transforms molten glass into beautiful functional objects,ガラス吹き技法は溶けたガラスを美しく実用的なオブジェクトに変える,,"music,arts,medium"
the sonata form consists of an exposition development and recapitulation,ソナタ形式は提示部・展開部・再現部で構成される,,"music,arts,hard"
the collaborative mural brought together artists from different cultural backgrounds,共同制作の壁画は異なる文化的背景を持つアーティストを結びつけた,,"music,arts,easy"
